block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_52-001_3616,129,0,WAHIAWA - HALEIWA,520090,3616_smuwtfa,5606876.5217.872093
b_14-002_3585,13,0,WAIKIKI - SAINT LOUIS HEIGHTS,140039,3585_s,5695910.1409.873862
a_53-002_3534,32,0,PACIFIC PALISADES via Red Hill,530048,3534_smuwtfa,5605925.5308.858334
b_9s-001_3616,125,1,PALOLO VALLEY,9s0003,3616_smuwtfa,5596936.9A01.866419
a_9s-001_3497,125,0,PALOLO VALLEY,9s0004,3497_a,5592264.9A01.850194
b_57-010_3563,124,0,KAILUA - Keolu Drive,57A0006,3563_muwtf,5588333.57A3.861551
a_57A-021_3497,124,1,HONOLULU- Ala Moana Center,57A0010,3497_a,5609783.57A2.859208
a_434-001_3534,90,1,WAIPAHU TRANSIT CENTER,4340042,3534_smuwtfa,5606127.4343.858482
b_40-006_3591,26,1,HONOLULU - Ala Moana Center,400280,3591_a_UWon,5624203.4005.872929
b_55-001_3563,131,1,PEARL CITY,620159,3563_muwtf,5600211.620A.868394
b_55-007_3616,130,0,KANEOHE - NORTH SHORE HALEIWA,550067,3616_smuwtfa,5606836.5511.872053
b_40-011_3585,26,1,HONOLULU - Ala Moana Center,400232,3585_s,5604186.4005.870352
a_432-001_3495,88,0,WEST WAIPAHU - Leoku Street,4320017,3495_muwtf,5598617.4323.854071
b_7-002_3616,7,1,KALIHI UKA,70010,3616_smuwtfa,5596715.702.866256
b_434-001_3616,90,0,VILLAGE PARK,4340022,3616_smuwtfa,5606084.4341.871477
b_403-002_3616,82,0,LUALUALEI HOMESTEADS,4020006,3616_smuwtfa,5606450.4022.871793
